,xt_x0,xt_v0,xt_t,xt_rand,vt_x0,vt_v0,vt_t,vt_rand,x0,v0,t,rand,alpha,beta,gamma,delta,omega
10,-143640442343724.75,100490534769336.12,-2342097451284.2334,-0.015625,-1.892488885981701e+28,1.3359031190767012e+28,-1.9674699788849876e+26,-4398046511104.0,0.0817762457582592,0.625749352889074,0.3434343434343435,0.7810134644788396,0.5,-0.2,0.37,0.3,1.2
11,-135193095732758.6,-49023548784042.164,-5901656303369.91,-0.125,-1.0755802018106033e+28,-1.2192124744092768e+27,-4.044145005729298e+26,-4398046511104.0,0.11149294355274758,0.4120853580105115,0.393939393939394,0.7714968579738112,0.5,-0.2,0.37,0.3,1.2
12,-188877454608201.16,-161372736004238.44,-6281040811724.934,-0.0625,-2.0181737960319794e+28,-1.5611131054444147e+28,-5.7436752892530554e+26,-13194139533312.0,0.12443319691544169,0.2707041730698815,0.9696969696969697,0.4496376637212936,0.5,-0.2,0.37,0.3,1.2
13,-94737076537570.83,51907723900416.89,-2662652388519.5166,-0.0078125,-1.085351572378133e+28,5.307829720827899e+27,-2.1691866398507005e+26,-1099511627776.0,0.13780868289626852,0.5239853338954283,0.888888888888889,0.11210489904286686,0.5,-0.2,0.37,0.3,1.2
14,-113968137218088.28,70609147133446.38,-2133014941031.4287,0.0,-1.1987742996745982e+28,6.410859511433595e+27,-1.8572118162611343e+26,-1099511627776.0,0.14937067392871406,0.6454087288711093,0.5151515151515152,0.20923924314910008,0.5,-0.2,0.37,0.3,1.2
15,-100278806544967.55,56942586138307.48,-2155784619012.8643,-0.0078125,-1.077071228531228e+28,5.200662083152961e+27,-1.9255446477918384e+26,1099511627776.0,0.15009043772554376,0.5693389673388368,0.08080808080808081,0.9414689469683709,0.5,-0.2,0.37,0.3,1.2
16,-189353459460745.06,-166183989026066.94,-6169354546142.801,-0.125,-2.003239611450966e+28,-1.6771462704594327e+28,-5.916437899506655e+26,0.0,0.15464333856072082,0.3296704282575962,0.787878787878788,0.9130974673907204,0.5,-0.2,0.37,0.3,1.2
17,-97604011125828.23,54624923200182.07,-2512917100027.1875,-0.0078125,-1.0385114329003161e+28,4.847547727660869e+27,-2.2503806559620905e+26,0.0,0.1602852481233601,0.5798444210868594,0.7272727272727273,0.5147715636004762,0.5,-0.2,0.37,0.3,1.2
18,-209169559103081.94,-203149109821576.75,-7203937320040.715,-0.375,-2.5468858541352337e+28,-2.3818208124906164e+28,-7.264627883342477e+26,8796093022208.0,0.1675126600495349,0.28635108674893717,0.5151515151515152,0.4440652630148598,0.5,-0.2,0.37,0.3,1.2
19,-197420797981707.1,-190847420250194.34,-6870345395737.238,-0.0625,-2.2935040712754415e+28,-2.0848961544025833e+28,-6.556810293022978e+26,-17592186044416.0,0.17871275458126112,0.2885176195541104,0.5252525252525253,0.7781103533147192,0.5,-0.2,0.37,0.3,1.2
20,-86452918827094.02,43513580370972.62,-2552666569551.5537,-0.0078125,-9.990377525684033e+27,4.4220590266085335e+27,-1.942861678630006e+26,-2199023255552.0,0.19845724611841797,0.5502963144519223,0.7575757575757577,0.4675743288105284,0.5,-0.2,0.37,0.3,1.2
