,x0,v0,t,rand,x0_xt_mean,v0_xt_mean,t_xt_mean,rand_xt_mean,x0_vt_mean,v0_vt_mean,t_vt_mean,rand_vt_mean,x0_xt_std,v0_xt_std,t_xt_std,rand_xt_std,x0_vt_std,v0_vt_std,t_vt_std,rand_vt_std
36510,0.2734514626098257,0.11071261444536395,0.10101010101010102,0.3851677757899418,-0.499001650774031,-6.438431959085403,-0.14953193815737478,0.0,-0.7345733060865975,-9.146651396315818,-0.16194651442303085,0.0,0.1604790116242842,0.5048184214445863,0.05763175138857655,0.0,0.22151919538675713,0.7111078280222811,0.09266771263286974,0.0
39257,0.8092626163889416,0.8487841884270753,0.5757575757575758,0.6362171434807544,1.162738901826804,5.932203710942701,0.005052617304036619,0.0,1.6103673284533908,8.283025595886942,0.09223648513859267,0.0,0.23935578649309433,0.5787151353540246,0.047671701270412446,0.0,0.33713386611124857,0.8134166649368743,0.07872653769213261,0.0
42672,0.40357146263086147,0.4810407827217122,0.7272727272727273,0.6647471072056277,-0.2549794148183327,0.15805294421710125,-0.05461980857143049,0.0,-0.36971873266919497,0.17720234143253208,-0.23909423770009436,0.0,0.18311313471692078,0.4738052408447287,0.04192078422282039,0.0,0.2587533085172766,0.6686512305694308,0.05535968022133656,0.0
43312,0.44379661267545045,0.08436832260588933,0.12121212121212122,0.14586100574175592,-0.05840114709126281,-6.965322476409287,-0.07832879624061949,0.0,-0.08487772765216592,-9.825280126142125,-0.12524436779850748,0.0,0.16428770216041608,0.40144798751006766,0.0817095688751894,0.0,0.23014920820224846,0.5659651619676515,0.11909472373937502,0.0
45786,0.9813831751369304,0.673715995113179,0.8686868686868687,0.9914063028994746,3.600205367438824,3.3220119086959032,0.1242773262202053,0.0,5.142159310474405,4.656134858050522,0.10104556566306985,0.0,0.32001168823644804,0.5354187126010567,0.04063488517734204,0.0,0.45518221031985023,0.7548723622870426,0.06699114236768455,0.0
46155,0.11799479903619275,0.9688687333157389,0.5555555555555556,0.26182337505139125,-1.0479417800423068,7.9306926156493445,0.1755602353988493,0.0,-1.4488315431579821,11.280298791861467,0.14010967252647735,0.0,0.17768308529429527,0.4627786281806298,0.05741725341026604,0.0,0.2514716358436614,0.6524099271821467,0.08603742060096006,0.0
46265,0.7982444040333541,0.20024506312699447,0.6565656565656566,0.9234837804837535,0.5248562349687371,-7.461531188513158,-0.16936401094751016,0.0,0.7553046448927729,-10.388561913823976,-0.3552538664496221,0.0,0.16629405255412222,0.5830328851154247,0.08591395262764297,0.0,0.23634741438280124,0.8181653904475812,0.13521340252139954,0.0
46448,0.8160874364093178,0.9272964746327839,0.48484848484848486,0.03688750774609867,0.7400224880888098,6.177250925409367,0.050352011617313064,0.0,1.0374853901016112,8.612087388587664,0.1757911153304144,0.0,0.17694132332566528,0.5008996570222024,0.04481377368280643,0.0,0.2454138658617297,0.7042819724349214,0.07422807343877622,0.0
47309,0.4820530946222604,0.509342934635224,0.09090909090909091,0.9704575225605343,-0.2466873177210073,0.17814457334769443,0.014821303352338475,0.0,-0.35158818771971684,0.14750817584789352,-0.18686443366695785,0.0,0.21988057925470966,0.4324357591035052,0.04281109618034959,0.0,0.3161588467058522,0.6050725286007437,0.06388032711137388,0.0
50567,0.1498588371321491,0.2224776990148034,0.6767676767676768,0.23163730448331932,-2.486437346488516,-4.623667968239572,-0.11902179204802127,0.0,-3.5110391030550665,-6.490776333309348,-0.23236938177292854,0.0,0.23333899660446988,0.5031247558526364,0.058910528580793785,0.0,0.3275724513384419,0.7120673482092191,0.09868914435204465,0.0
