num,feature,contribution,model,x0,v0,t,rand,alpha,beta,gamma,delta,omega
81,x0,xt,ml,1.0416719571749367,-0.06078835129737871,-0.0005088013410566306,-1.1144081748515333e-06,0.0,0.0,0.0,0.0,0.0
82,x0,xt,ml,1.0416722325483956,-0.060789786974589026,-0.0005018122990923801,-1.087705294289254e-05,0.0,0.0,0.0,0.0,0.0
83,x0,xt,ml,1.0444516224662466,-0.060479611059029964,-0.0035698218146961586,-1.5624860922547334e-05,0.0,0.0,0.0,0.0,0.0
84,x0,xt,ml,1.0444516484936077,-0.0604765966534615,-0.0035801626245180324,-8.324484030319823e-06,0.0,0.0,0.0,0.0,0.0
85,x0,xt,ml,1.0444532896081606,-0.06047820578018816,-0.0035723343491554788,-1.7138421535500825e-05,0.0,0.0,0.0,0.0,0.0
86,x0,xt,ml,-0.9619249879320451,-0.060640305181344625,0.0023686763644215625,2.632240453825929e-06,0.0,0.0,0.0,0.0,0.0
87,x0,xt,ml,1.0413060273726782,-0.060807027816772365,-0.00011325140794128663,-1.181960105900437e-05,0.0,0.0,0.0,0.0,0.0
88,x0,xt,ml,1.0434241193532945,-0.060742250084876985,-0.0023138751586279926,-2.529422442054674e-06,0.0,0.0,0.0,0.0,0.0
89,x0,xt,ml,1.044633261561394,-0.06047158678372719,-0.003752586245536968,-2.2582213082822378e-06,0.0,0.0,0.0,0.0,0.0
90,x0,xt,ml,-0.9632087933023759,-0.060592879156272005,0.003613353272278977,-5.665322145631535e-06,0.0,0.0,0.0,0.0,0.0
91,x0,xt,ml,-0.963208387196063,-0.06059304167826997,0.003614960412184287,-7.516046365507734e-06,0.0,0.0,0.0,0.0,0.0
92,x0,xt,ml,1.0357700650890667,-0.06054155583182953,0.005159013321002437,2.0499825477471312e-05,0.0,0.0,0.0,0.0,0.0
93,x0,xt,ml,1.044072403212388,-0.060567038357257866,-0.003136507372061337,2.329250176957842e-06,0.0,0.0,0.0,0.0,0.0
94,x0,xt,ml,1.044072332481543,-0.06056389480829244,-0.0031417839725813856,5.129079024390748e-06,0.0,0.0,0.0,0.0,0.0
95,x0,xt,ml,1.0440739960471788,-0.06057275086641311,-0.0031280083457629893,-4.195868968714933e-06,0.0,0.0,0.0,0.0,0.0
