,xt_x0,xt_v0,xt_t,xt_rand,vt_x0,vt_v0,vt_t,vt_rand,x0,v0,t,rand,alpha,beta,gamma,delta,omega,explainer
10,-32283101646762.754,24181297520224.074,-798067178065.1191,0.0,-2.71370264016334e+27,1.9271631872584496e+27,-4.273503966475337e+25,-137438953472.0,0.1832493037047505,0.894380801254377,0.696969696969697,0.5655114705065325,-0.1,-0.1,0.37,0.3,1.2,kernel
11,-26691345622625.51,18699688984411.42,-908214666389.6758,0.0,-2.2337888421300148e+27,1.4488777623911346e+27,-4.436341283076372e+25,0.0,0.4108517344713883,0.602518325333889,0.5151515151515152,0.9901130277076038,-0.1,-0.1,0.37,0.3,1.2,kernel
12,-611818683714.7402,-6486323126149.686,-1801729494753.084,0.0,-2.5610312642061414e+26,-4.797495359407817e+26,-9.342183020824797e+25,-137438953472.0,0.4874055723522688,0.3653678469161593,0.10101010101010102,0.8829481042954963,-0.1,-0.1,0.37,0.3,1.2,kernel
13,17327071376329.775,-25428875502868.44,-798067178065.1533,0.001953125,1.2453958745986782e+27,-2.0319353275035687e+27,-4.27350396647533e+25,-274877906944.0,0.8823223052095199,0.3433703830584105,0.26262626262626265,0.8860729362982869,-0.1,-0.1,0.37,0.3,1.2,kernel
14,-13678840547884.836,5297860384648.399,-518891141380.9961,0.0,-1.0943023616339931e+27,3.0229843252955536e+26,-3.727056346520611e+25,-137438953472.0,0.04940052600415168,0.4998742730867418,0.13131313131313133,0.003597267576057106,-0.1,-0.1,0.37,0.3,1.2,kernel
15,6937892754353.045,-15030875904804.756,-806888154165.7129,-0.001953125,1.153886408868653e+26,-9.009616731394896e+26,-4.370146031701979e+25,137438953472.0,0.3477163755212917,0.03396700736678537,0.7373737373737375,0.41362220731758814,-0.1,-0.1,0.37,0.3,1.2,kernel
16,23579556319604.188,-31795852504819.477,-683575119388.4941,-0.00390625,1.8920562488764515e+27,-2.708083051441492e+27,-1.3247690004603294e+25,-412316860416.0,0.978254713552029,0.26316593371029096,0.6161616161616162,0.22418934551777897,-0.1,-0.1,0.37,0.3,1.2,kernel
17,-19359947681831.395,10845875425499.877,-385799048272.2656,-0.00390625,-1.5847488978334054e+27,7.753998520712771e+26,-1.9925446807515605e+25,-137438953472.0,0.5064047673880926,0.9251354235123781,0.8080808080808082,0.015013910180044221,-0.1,-0.1,0.37,0.3,1.2,kernel
18,-21109099238145.215,13007295111606.398,-798067178065.0293,-0.001953125,-1.841797767869332e+27,1.0552583149644418e+27,-4.273503966475351e+25,-274877906944.0,0.23002344450114348,0.7669138171538847,0.32323232323232326,0.8974972190167196,-0.1,-0.1,0.37,0.3,1.2,kernel
19,22214918145009.82,-30310324831374.258,-804464618252.9785,-0.0078125,1.5123395261827623e+27,-2.2981898485005897e+27,-4.342417025181654e+25,0.0,0.7552117489261152,0.018092986384941,0.6666666666666667,0.4755603943370617,-0.1,-0.1,0.37,0.3,1.2,kernel
20,-8355662682310.629,595869216776.8828,-1140077839070.0215,0.0,-8.087777024762784e+26,3.008995131762617e+25,-5.058674141099169e+25,-137438953472.0,0.9541138881185778,0.4759811919375402,0.4646464646464647,0.519116279148548,-0.1,-0.1,0.37,0.3,1.2,kernel
21,10088499158993.402,-17254749558246.373,-1733620905364.456,0.0,7.514982812211748e+26,-1.4905201519904506e+27,-9.02526218003682e+25,0.0,0.6218207610725941,0.3569949672281153,0.33333333333333337,0.42713885603804724,-0.1,-0.1,0.37,0.3,1.2,kernel
