,xt_x0,explainer,xt_v0,xt_t,xt_rand,vt_x0,vt_v0,vt_t,vt_rand,x0,v0,t,rand,alpha,beta,gamma,delta,omega
11,-66203559532879.21,lime,-64307954205989.34,-8422850566761.782,-10195318000406.195,-5.409267315358867e+27,-5.29414519558032e+27,-1.4120998266167462e+27,-8.83323330010288e+26,0.1272462922857508,0.06624792977408872,0.797979797979798,0.40472451924404784,0.7,-0.1,0.37,0.3,1.2
12,-78712940453515.02,lime,-79856421153386.89,11453656425725.559,-17533261760695.215,-8.233014360762709e+27,-8.017171225726797e+27,-1.883596494709599e+27,-1.0620735395981602e+27,0.13228018990502116,0.00917103614780046,0.6363636363636365,0.597921625701008,0.7,-0.1,0.37,0.3,1.2
13,-53655656671212.09,lime,-7597200566912.505,-5397690122033.226,-6630294492859.006,-6.111239432146924e+27,-9.750336510350503e+26,5.883563050557122e+26,-4.052377950737972e+26,0.13824208360923318,0.7281035196620718,1.0,0.3536864724589577,0.7,-0.1,0.37,0.3,1.2
14,-67315395839527.92,lime,-62984062977813.96,-2046912389119.2722,2620838765791.579,-7.119950490016111e+27,-7.184308455578932e+27,1.7537792685249474e+27,-2.4819245362799496e+26,0.1414079547401907,0.15736650074166758,0.4141414141414142,0.2411454428286035,0.7,-0.1,0.37,0.3,1.2
15,-96743364267735.7,lime,-18869394987548.137,-12761606093413.36,2097798274817.27,-6.384432696151279e+27,-1.663419258727311e+27,1.7539609325285218e+26,4.504244837577739e+26,0.14550278365418484,0.7271010243513787,0.22222222222222224,0.8360273227980843,0.7,-0.1,0.37,0.3,1.2
16,-67012349271125.305,lime,-68767454497628.37,9099837230122.277,13017353244499.066,-7.00382713991583e+27,-6.895792181507664e+27,1.800566978288888e+27,-2.0175124393232262e+26,0.1546144706045729,0.22984201963651618,0.9090909090909092,0.1733048155942351,0.7,-0.1,0.37,0.3,1.2
17,-49080872012657.92,lime,-5862739911428.76,-1312280410877.3,18635445107007.305,-5.774409755605123e+27,-1.390257107518509e+27,-1.2813281218728646e+27,3.754720842606185e+26,0.1747454073451808,0.5351199384522428,0.4444444444444445,0.85674152679085,0.7,-0.1,0.37,0.3,1.2
18,-88987708393670.5,lime,-4968303564030.509,14772257414201.832,849639209268.022,-4.434975394827768e+27,-1.9912525011091527e+27,-1.8370841563608095e+26,7.458168590732049e+26,0.18681389677594357,0.7342876780532647,0.9292929292929294,0.19598703728598194,0.7,-0.1,0.37,0.3,1.2
19,-82027454398494.22,lime,-17441901519414.2,-10399542677989.768,-5698357427136.308,-5.760261206858226e+27,-1.7136431112266454e+27,-1.8086223059831074e+27,1.9057950539433406e+27,0.20897248987406586,0.5800849064682212,0.020202020202020204,0.4601261645092759,0.7,-0.1,0.37,0.3,1.2
20,-62349627889365.7,lime,-9528834057083.016,368526638119.3153,-12952957724580.463,-5.43637562701452e+27,-9.826570959957239e+26,2.356430128953635e+26,-8.054340867567802e+25,0.21135373174989408,0.47878167909964614,0.22222222222222224,0.04904158374573658,0.7,-0.1,0.37,0.3,1.2
21,-65948338588342.45,lime,-7638277358505.997,-6373686277874.297,1132059553769.696,-7.102807928711676e+27,-1.7097209208449468e+25,1.1496980610289418e+27,-8.325319571822235e+26,0.21398415602716836,0.5839458378412739,0.06060606060606061,0.6918613100648981,0.7,-0.1,0.37,0.3,1.2
22,-68151004274976.82,lime,-24555905023204.75,-3676917837637.273,2595256099839.4727,-5.078667599759206e+27,-1.321267489745068e+27,5.531723657044334e+26,2.1870778452608336e+26,0.24476809248438752,0.6374759011580645,0.36363636363636365,0.13023781654597405,0.7,-0.1,0.37,0.3,1.2
23,-66457846671876.695,lime,-9628859799566.057,15723032861724.61,771908090626.5786,-4.751662380603669e+27,-8.769100623210505e+26,-1.0951321360670265e+26,1.7762867720703414e+27,0.24476809248438752,0.6374759011580645,0.9595959595959597,0.43452606290053547,0.7,-0.1,0.37,0.3,1.2
24,-83312023779046.86,lime,109179087755623.36,-8017560198502.482,17568284766999.615,-7.231580210581404e+27,9.749447094301232e+27,-8.857913534047216e+25,-8.518180218560548e+26,0.2806848961935906,0.9718731137372006,0.13131313131313133,0.2686134133015058,0.7,-0.1,0.37,0.3,1.2
25,-28747210029973.066,lime,133032674099171.31,6737428756893.092,-20692888343627.754,-2.278023825678485e+27,8.56690853404984e+27,7.406031944975062e+25,1.2809825709625258e+27,0.29693205046690424,0.762659576457899,0.5757575757575758,0.575053798568306,0.7,-0.1,0.37,0.3,1.2
26,-25839998915475.438,lime,116276500638225.27,-13927959940796.691,-4609424240971.063,-2.580259615242669e+27,8.025313220582388e+27,5.655405462424346e+26,8.829123479995908e+26,0.3305206351755837,0.808338868569831,0.686868686868687,0.4544282181674901,0.7,-0.1,0.37,0.3,1.2
27,-23459832373209.766,lime,-23093075920458.96,11657274456590.857,10218228582798.223,-6.301838405274025e+26,-5.5567977386883125e+26,7.772440028574187e+26,-9.356223476351056e+26,0.33555829731492004,0.7500502965639757,0.29292929292929293,0.4081242200096115,0.7,-0.1,0.37,0.3,1.2
28,1256181177026.1787,lime,-69120371995323.9,16217789769714.154,957119010764.7604,-1.9928331779948773e+27,-6.49637961858413e+27,-1.85851825308413e+27,8.413546274453484e+25,0.3437429854706132,0.21295282180507435,0.8181818181818182,0.8970621872391633,0.7,-0.1,0.37,0.3,1.2
29,-26861165257458.566,lime,-29551074197230.645,16259231082872.34,-13370745126673.236,-2.378456115614122e+27,-2.2836373137951573e+27,-8.767614408455743e+26,7.993374333814025e+25,0.3459424787443984,0.5061835741908989,0.010101010101010102,0.6821690120659967,0.7,-0.1,0.37,0.3,1.2
30,-20588418799421.016,lime,72678442463559.48,9072958677253.734,-10428081510176.102,-1.0452411009060229e+27,4.953177644940056e+27,9.990329952915786e+26,-4.392177368562552e+26,0.35793904784886305,0.9061781251071022,0.5454545454545455,0.2020748113519637,0.7,-0.1,0.37,0.3,1.2
31,-15348967839723.309,lime,-13896682254308.764,6165676661318.108,-9741562405431.193,-1.0846844803155109e+27,-1.0220883259960729e+27,6.672229131933222e+26,8.405940628381722e+26,0.38126837135689784,0.2627127063649389,0.6464646464646465,0.19894746207261105,0.7,-0.1,0.37,0.3,1.2
32,-10048509052224.598,lime,-6443574248200.071,-3346346180191.002,5036696880798.73,-1.3202712878755706e+27,-1.14542467425049e+27,-7.515678581519811e+26,5.9477060069007635e+26,0.38142586115765614,0.5062103165520707,0.12121212121212122,0.1315235115377249,0.7,-0.1,0.37,0.3,1.2
