,xt_x0,xt_v0,xt_t,xt_rand,vt_x0,vt_v0,vt_t,vt_rand,x0,v0,t,rand,alpha,beta,gamma,delta,omega
10,182832342159134.84,-77966106870920.39,3322389421738.904,2787584594379.7803,-2.2758904115626103e+28,7.62356646858233e+27,-4.565669921525421e+26,-6.130714274912737e+26,0.0817762457582592,0.625749352889074,0.3434343434343435,0.7810134644788396,0.5,-0.2,0.37,0.3,1.2
11,192374845499396.28,98783685641591.5,-11032019683871.734,678682371470.736,-2.3839924362681574e+28,-9.921195133565373e+27,1.0323862898025183e+27,-1.6998940176441674e+26,0.11149294355274758,0.4120853580105115,0.393939393939394,0.7714968579738112,0.5,-0.2,0.37,0.3,1.2
12,194157233773937.25,91059497298969.86,-194754516220.62582,-5427280349545.652,-2.36474114676059e+28,-1.0042531154906773e+28,-2.4516891589476124e+26,8.176168848649179e+26,0.12443319691544169,0.2707041730698815,0.9696969696969697,0.4496376637212936,0.5,-0.2,0.37,0.3,1.2
13,189341211438971.75,-83311682080824.94,-2537262662578.795,-6785548012818.66,-2.2710499068310018e+28,6.19718163525616e+27,2.0471790202765888e+27,-1.9189772139707338e+25,0.13780868289626852,0.5239853338954283,0.888888888888889,0.11210489904286686,0.5,-0.2,0.37,0.3,1.2
14,190267525720994.16,-83110076056060.2,-5806116032954.949,4327012233531.5366,-2.263293059568338e+28,6.323585088835015e+27,-5.5567204580979474e+26,1.078003051115702e+26,0.14937067392871406,0.6454087288711093,0.5151515151515152,0.20923924314910008,0.5,-0.2,0.37,0.3,1.2
15,184479476781096.75,-85029162162763.3,-852824604529.3887,-3638068042098.8125,-2.4016656325593796e+28,7.32900839965221e+27,-3.160048970237706e+26,-1.7932192830657728e+27,0.15009043772554376,0.5693389673388368,0.08080808080808081,0.9414689469683709,0.5,-0.2,0.37,0.3,1.2
16,193314086767564.3,90835238623895.84,-1961780155338.1553,1938748000596.1345,-2.4157687287948895e+28,-9.651873205142615e+27,8.106059674381352e+26,-2.6260444485743568e+26,0.15464333856072082,0.3296704282575962,0.787878787878788,0.9130974673907204,0.5,-0.2,0.37,0.3,1.2
17,191520188214175.06,-78099618555743.34,6333968718.456738,9340759861839.809,-2.187973329027599e+28,6.671405230809525e+27,1.4213847055653762e+27,4.3985633097417305e+26,0.1602852481233601,0.5798444210868594,0.7272727272727273,0.5147715636004762,0.5,-0.2,0.37,0.3,1.2
18,188097917356321.75,85734995584107.44,4374691161123.7866,5458058182762.578,-2.4027526760935033e+28,-1.1091482301818183e+28,-1.5446595512175159e+27,4.553591768440528e+26,0.1675126600495349,0.28635108674893717,0.5151515151515152,0.4440652630148598,0.5,-0.2,0.37,0.3,1.2
19,191819784505680.75,99034931863400.9,-13763784900647.715,6945773201316.773,-2.3351384418729045e+28,-1.0165781947936286e+28,9.59265092937882e+25,-2.9373080927939745e+25,0.17871275458126112,0.2885176195541104,0.5252525252525253,0.7781103533147192,0.5,-0.2,0.37,0.3,1.2
20,186617632334650.84,-80208649788834.61,2824668947754.0557,540515597413.52625,-2.2783427562457485e+28,6.493845739737616e+27,-4.9060634618688594e+26,-2.2354789720712446e+26,0.19845724611841797,0.5502963144519223,0.7575757575757577,0.4675743288105284,0.5,-0.2,0.37,0.3,1.2
21,194971141048155.2,282007250784312.9,3596930661956.769,-5855950170320.198,-2.2710806325337392e+28,-2.61564969991375e+28,-3.966073570060663e+26,-3.30229508444977e+26,0.21978829538484596,0.06122580202274819,0.5858585858585859,0.39433349116905797,0.5,-0.2,0.37,0.3,1.2
22,185270203762946.3,-81539058776098.42,-8084268444280.187,-1840119160074.499,-2.1537185651741794e+28,5.55348220022144e+27,4.5335962349489315e+26,8.890045403353131e+26,0.22805827780903798,0.5585267965204846,0.9595959595959597,0.7393563767951953,0.5,-0.2,0.37,0.3,1.2
23,190107091826198.22,280593046152122.22,6439733212052.704,-9830995094845.29,-2.452647109051126e+28,-2.7390160311342964e+28,4.4435994592754054e+26,1.1434904834851272e+27,0.2367876402823647,0.16317622135012544,0.494949494949495,0.10933808886418794,0.5,-0.2,0.37,0.3,1.2
