,xt_x0,xt_v0,xt_t,xt_rand,vt_x0,vt_v0,vt_t,vt_rand,x0,v0,t,rand,alpha,beta,gamma,delta,omega
34,-33737896611038.92,295706380196979.06,2157208698200.6963,0.0,-8.272768636689857e+27,3.118951295741619e+28,2.002135518182582e+26,0.0,0.35937230017747435,0.9354326432057172,0.3535353535353536,0.5801846366302521,0.5,-0.2,0.37,0.3,1.2
35,-95355964734253.3,66101276809616.48,-0.20284017250468714,0.0,-1.01898164462046e+28,6.077731540687105e+27,0.1476294480036576,0.0,0.3935012235456602,0.7610261527990956,0.8484848484848485,0.027155896775760302,0.5,-0.2,0.37,0.3,1.2
36,20321965439756.902,-130251355211702.94,80674701061274.8,0.0,2.980632456450558e+27,-1.1895884781307704e+28,4.8031673936187714e+27,0.0,0.3942730135696773,0.16205101258440602,0.04040404040404041,0.5102141981649565,0.5,-0.2,0.37,0.3,1.2
37,-588410860004.3081,-30196147531832.254,1529870741726.9482,0.0,-5.460142424027024e+26,-3.489709751755664e+27,-7.636044238956781e+25,0.0,0.4183316800446086,0.3209920657620852,0.020202020202020204,0.5320869861868046,0.5,-0.2,0.37,0.3,1.2
38,23843317481670.664,-205740105470367.12,-2677931662306.5156,0.0,4.6341802794026265e+27,-1.6246102463177743e+28,-1.3157610937631435e+26,0.0,0.4189074967270023,0.12304390847414648,0.9393939393939394,0.2309779599187028,0.5,-0.2,0.37,0.3,1.2
39,-16855062517121.781,-13619832685794.771,1220207928554.6677,0.0,-2.1475723375514694e+27,-2.0144413514865062e+27,4.992897640143784e+25,0.0,0.4295327701431379,0.47705598967117174,0.19191919191919193,0.6137185228421029,0.5,-0.2,0.37,0.3,1.2
40,28300366574868.43,-57555046817263.76,0.051744018636492,0.0,1.6786193034834875e+27,-5.790703319345168e+27,-0.2917637651652629,0.0,0.4605850017192565,0.29415530925861044,0.3535353535353536,0.040349630109017987,0.5,-0.2,0.37,0.3,1.2
41,-7378582018685.346,-286700313289002.8,-6321211009410.034,0.0,1.056467029868038e+27,-2.788774966523933e+28,-5.3583424452274944e+26,0.0,0.4657915822910054,0.062435576997452225,0.6060606060606061,0.3331477680412417,0.5,-0.2,0.37,0.3,1.2
42,-36913638352386.62,7165578574825.305,493374320429.3373,0.0,-3.855360858429804e+27,-3.395251752724937e+26,8.280181879554379e+25,0.0,0.48244940428236954,0.6011902187607682,0.36363636363636365,0.7342984434796563,0.5,-0.2,0.37,0.3,1.2
43,-43172570523082.91,12308141465631.643,1609743392241.8262,0.0,-4.3544036459423824e+27,1.488717271748474e+26,9.344740462094767e+25,0.0,0.48541952019053736,0.6318052928557021,0.5050505050505051,0.17073498615418198,0.5,-0.2,0.37,0.3,1.2
44,46461172004952.35,-77053082151871.75,1337223423951.5215,0.0,3.6708343882497606e+27,-7.965217721047585e+27,1.8229852183131048e+26,0.0,0.5261021808923669,0.23865964043753335,0.23232323232323235,0.4810547718995301,0.5,-0.2,0.37,0.3,1.2
45,45476946076624.516,-72260914858492.4,-2470722956454.272,0.0,3.8101601596113204e+27,-7.811790281764648e+27,-1.1045477463341513e+26,0.0,0.5288346693925853,0.2581651495343566,0.7777777777777778,0.803928366984203,0.5,-0.2,0.37,0.3,1.2
46,57179983610994.41,-85095913275848.75,-1338750123299.5747,0.0,5.119588752752817e+27,-9.170447979727748e+27,-6.1224617682155265e+25,0.0,0.5298379487940962,0.22928266101715572,0.13131313131313133,0.24229340909587227,0.5,-0.2,0.37,0.3,1.2
47,30152467481372.21,-59232955486589.89,-174199869038.341,0.0,2.4467359517161183e+27,-6.540584739825517e+27,-1.8235861821640018e+25,0.0,0.5421141442659483,0.35484244450091323,0.29292929292929293,0.13747938631734158,0.5,-0.2,0.37,0.3,1.2
48,66294123615129.29,-223303614943913.12,-1240337930879.935,0.0,9.913083402869785e+27,-1.923863477880757e+28,-5.061618512532679e+25,0.0,0.5492638380340178,0.08901342928320749,0.8686868686868687,0.22552859248130425,0.5,-0.2,0.37,0.3,1.2
49,-25953867155411.145,-5891718796752.144,2590897022241.2183,0.0,-2.7620767185791904e+27,-1.6054041132067889e+27,2.5539584190920608e+26,0.0,0.551053295269005,0.5692666853664463,0.29292929292929293,0.04634894455570804,0.5,-0.2,0.37,0.3,1.2
50,13186481333532.26,102772413519467.94,3610377465663.392,0.0,-2.598226791446146e+27,5.313987568201751e+27,1.7804562228284052e+26,0.0,0.5515842599617635,0.7405262510311926,0.30303030303030304,0.18086674596618368,0.5,-0.2,0.37,0.3,1.2
51,-2327790911953.195,-26926895029411.16,0.13359246145797102,0.0,-3.897760135868569e+26,-3.7223082941987776e+27,-0.2320374144708463,0.0,0.5541745867661518,0.48922733285768244,0.24242424242424243,0.3735275487332036,0.5,-0.2,0.37,0.3,1.2
52,29489433941247.582,-56059272328874.95,-2684850535082.5537,0.0,2.7537901813729675e+27,-6.730142761498664e+27,-1.3573168623968788e+26,0.0,0.5576393562949337,0.37262288751975425,0.48484848484848486,0.570377380391174,0.5,-0.2,0.37,0.3,1.2
53,89850281404226.1,-119306794306162.75,201823610785.43594,0.0,7.54446496195945e+27,-1.1699694933444154e+28,4.314491374569289e+25,0.0,0.5672209159372534,0.1870743076932634,0.30303030303030304,0.6832752061877085,0.5,-0.2,0.37,0.3,1.2
54,20068694472700.53,-49323384589797.39,-0.22275856106675387,0.0,1.68223319154957e+27,-5.794318267513684e+27,0.06260677731100155,0.0,0.5708566334019152,0.41267924880470336,0.26262626262626265,0.9967447377204013,0.5,-0.2,0.37,0.3,1.2
55,44176935334847.484,-71981553912787.02,-1450067953285.398,0.0,4.05034384316814e+27,-8.087935256871556e+27,-7.44929612687354e+25,0.0,0.5749243810093754,0.27754596882190147,0.14141414141414144,0.732386377947774,0.5,-0.2,0.37,0.3,1.2
56,83970868456530.81,-112326335127976.31,-899219910607.5674,0.0,6.880356805642576e+27,-1.096635408407549e+28,-2.6087201553853546e+25,0.0,0.5899254959694145,0.19819866608410358,0.5656565656565657,0.3429266254835317,0.5,-0.2,0.37,0.3,1.2
57,52557534791756.28,109098942222251.78,890265851915.4375,0.0,1.1574745284831401e+27,6.388085540322524e+27,-2.1208270274805e+25,0.0,0.6143058034163194,0.7239422076319195,0.8787878787878789,0.6199194099334501,0.5,-0.2,0.37,0.3,1.2
58,62402046866125.44,-223047000631378.1,-3268089143557.18,0.0,8.831946935747691e+27,-1.8520434165861071e+28,-1.5913604738038563e+26,0.0,0.6387321753560478,0.15787693064629726,0.9595959595959597,0.09672575622576562,0.5,-0.2,0.37,0.3,1.2
59,28041644165012.816,42006440556209.62,-99302773308457.98,0.0,1.698267874251649e+27,2.124019864787254e+27,-7.934372336501729e+27,0.0,0.666607436179964,0.689604249713407,0.010101010101010102,0.8393467580550814,0.5,-0.2,0.37,0.3,1.2
60,-20141206528007.973,247889268652345.5,2064010370617.469,0.0,-8.802643272390011e+27,2.5679455581873574e+28,2.4078513889090995e+26,0.0,0.6759787245158472,0.9654686570571103,0.9494949494949496,0.13425296662283448,0.5,-0.2,0.37,0.3,1.2
61,13750170050764.54,-43004854620276.04,-0.016126232264863434,0.0,1.3261799434950282e+27,-5.438264317227201e+27,0.27830596114135153,0.0,0.6808505311209614,0.49019130969339264,0.48484848484848486,0.04075685472620255,0.5,-0.2,0.37,0.3,1.2
62,102450639670782.0,-129059304165134.47,-2646025454370.5796,0.0,9.777500501456324e+27,-1.3758719217750846e+28,-1.3086616888728535e+26,0.0,0.6941274982596337,0.1936820149781528,0.494949494949495,0.06745143980767832,0.5,-0.2,0.37,0.3,1.2
63,-15299760687027.467,-16836940705579.404,2882013688340.6924,0.0,-1.2142814449598845e+27,-3.297869258515043e+27,4.0006621904310684e+26,0.0,0.699584713438353,0.6220148207763003,0.14141414141414144,0.6675811440591998,0.5,-0.2,0.37,0.3,1.2
64,37385366847443.65,-228885178404618.4,-1516309626070.8213,0.0,6.082312948495781e+27,-1.8599017210487735e+28,-7.854785275855339e+25,0.0,0.7304582474630419,0.17778335358943426,0.21212121212121213,0.231116888881435,0.5,-0.2,0.37,0.3,1.2
65,85095215644742.17,-115713384629408.25,1363491725409.7476,0.0,7.34685013674845e+27,-1.1521273166114109e+28,6.233978000090378e+25,0.0,0.7331730088282746,0.20871950691646207,0.9292929292929294,0.3062974163516048,0.5,-0.2,0.37,0.3,1.2
